unique_id,date,tag,sub_type,type,rating,cost,predicted_ctr
135246866598928,2022-08-05,InApp,Games,Native,PG-13,159,12.57
135246866599936,2022-08-12,Banner,Productivity,non-Native,PG-13,258,11.75
135246866599984,2022-06-01,Banner,Productivity,non-Native,PG-13,106,12.16
135246866598592,,InApp,Productivity,Native,PG-17,144,15.91
135246866597632,2022-12-25,Banner,Games,non-Native,PG-13,138,12.79
135246866597488,2022-09-23,InApp,Games,Native,PG-13,124,15.8
135246866596432,2022-08-27,InApp,Productivity,Native,PG-13,173,16.09
135246866596384,2022-12-24,Banner,Games,non-Native,PG-13,118,20.13
135246866598736,2022-10-07,Banner,Games,non-Native,PG-13,150,11.03
135246866598400,2022-06-19,Banner,Games,non-Native,PG-13,177,10.31
135246866599840,2022-12-22,InApp,Games,Native,PG-17,142,19.22
135246866603536,2022-11-04,InApp,Games,Native,PG-17,155,17.35
135246866600224,2022-10-21,InApp,Games,Native,PG-13,192,11.1
135246866599888,2022-10-29,InApp,Games,Native,PG-13,213,10.5
135246866603344,2022-12-27,Banner,Games,non-Native,PG-17,114,13.86
135246866603296,2022-07-13,InApp,Games,Native,PG-13,,
135246866603920,2022-10-23,Banner,Games,non-Native,PG-13,205,17.01
135246866603056,2022-10-25,Banner,Games,non-Native,PG-13,164,19.22
135246866603488,2022-11-22,Interstitial,Games,non-Native,PG-13,102,12.91
135246866602960,2022-12-23,Banner,Games,non-Native,PG-17,206,11.51
135246866603440,2022-12-05,Banner,Games,non-Native,PG-17,192,16.28
135246866603248,2022-06-07,InApp,Games,Native,PG-17,163,20.28
135246866603104,2022-11-26,InApp,Games,Native,PG-17,120,14.31
135246866598496,2022-12-12,InApp,Games,Native,PG-13,119,22.8
135246866600080,2022-12-02,InApp,Games,Native,PG-13,238,15.86
135246866600128,2022-12-23,Banner,Games,non-Native,PG-17,176,17.9
135246866603200,,InApp,Games,Native,PG-17,145,17.55
135246866600032,2022-12-22,Banner,Games,non-Native,PG-13,117,21.3
135246866598352,2022-09-22,Banner,Productivity,non-Native,PG-17,195,15.96
135246866603152,2022-10-05,InApp,Games,Native,PG-17,138,22.82
135246866603392,2022-08-15,InApp,Productivity,Native,PG-17,,
135246866603824,2022-12-19,InApp,Games,Native,PG-17,177,10.54
135246866603728,2023-01-01,Banner,Games,non-Native,PG-13,203,16.41
135246866603968,2022-10-30,Banner,Games,non-Native,PG-13,,
135246866601568,2022-09-27,Banner,Games,non-Native,PG-13,100,10.63
135246866601616,2022-12-20,Banner,Games,non-Native,PG-17,107,24.23
135246866601472,2022-08-25,Banner,Games,non-Native,PG-17,201,14.5
135246866601520,2022-06-21,Banner,Games,non-Native,PG-17,148,11.85
135246866601376,2022-10-09,Banner,Games,non-Native,PG-13,141,16.35
135246866601424,2022-10-05,Banner,Games,non-Native,PG-17,140,15.89
135246866601280,2022-11-14,Banner,Productivity,non-Native,PG-13,133,13.91
135246866601328,2022-10-18,InApp,Games,Native,PG-17,145,9.06
135246866601184,2022-10-16,InApp,Games,Native,PG-17,246,18.59
135246866601232,2022-11-18,Interstitial,Games,non-Native,PG-13,219,14.29
135246866603584,2022-12-22,InApp,Games,Native,PG-17,117,11.19
135246866598544,2022-07-25,Interstitial,Games,non-Native,PG-17,168,12.43
135246866598640,2022-06-19,Banner,Games,non-Native,PG-13,,
135246866603632,2022-11-21,Banner,Games,non-Native,PG-13,160,16.41
135246866603776,2022-10-22,Banner,Productivity,non-Native,PG-13,264,12.85
135246866599792,2022-11-18,Banner,Games,non-Native,PG-13,130,13.65
135246866600176,2022-07-23,Banner,Games,non-Native,PG-13,,
135246866602912,2022-03-22,InApp,Games,Native,PG-13,140,13.48
135246866602864,2022-12-13,InApp,Games,Native,PG-13,122,17.9
135246866603872,2022-07-29,InApp,Productivity,Native,PG-17,111,19.39
135246866603008,2022-12-08,Banner,Games,non-Native,PG-17,121,19.01
135246866602720,2022-07-28,Banner,Games,non-Native,PG-17,172,14.96
135246866602672,2022-08-20,Banner,Productivity,non-Native,PG-13,101,21.09
135246866602624,2022-11-21,InApp,Productivity,Native,PG-13,110,20.29
135246866602816,2022-12-14,Banner,Games,non-Native,,152,9.33
135246866602768,,Banner,Games,non-Native,PG-17,247,17.59
135246866602480,2022-09-02,InApp,Productivity,Native,PG-13,143,20.8
135246866602432,2022-12-12,Banner,Games,non-Native,PG-17,230,13.39
135246866602384,2022-10-11,Banner,Games,non-Native,PG-17,159,20.25
135246866602576,2022-10-29,Banner,Productivity,non-Native,PG-17,176,20.47
135246866602528,2022-12-29,Interstitial,Games,non-Native,PG-13,135,16.0
135246866602240,2022-12-18,InApp,Games,Native,PG-13,142,14.87
135246866602192,2022-07-28,Banner,Games,non-Native,PG-13,134,16.74
135246866602144,2022-10-12,Banner,Games,non-Native,PG-13,135,15.09
135246866602336,2022-11-07,Banner,Games,non-Native,PG-13,132,21.81
135246866602288,,Banner,Games,non-Native,PG-13,,
135246866602000,2022-11-24,Banner,Games,non-Native,PG-17,115,23.55
135246866601952,2022-11-01,InApp,Games,Native,PG-13,,
135246866601904,,InApp,Games,Native,PG-13,,
135246866602096,2022-09-14,InApp,Games,Native,PG-17,107,19.62
135246866602048,2022-12-28,InApp,Productivity,Native,PG-13,104,22.99
135246866601760,2022-11-22,Banner,Games,non-Native,PG-17,102,18.98
135246866601712,2022-12-15,InApp,Games,Native,PG-13,194,11.47
135246866601664,2022-12-29,Banner,Games,non-Native,PG-17,165,9.79
135246866601856,2022-10-24,Banner,Productivity,non-Native,PG-17,208,10.64
135246866601808,2022-09-05,Banner,Games,non-Native,PG-17,155,11.17
135246866603680,,Banner,Games,non-Native,PG-13,,
135246866601136,2022-07-11,InApp,Games,Native,PG-17,120,9.35
135246866601088,2022-08-12,Banner,Health,non-Native,PG-13,147,20.72
135246866601040,2022-10-01,InApp,Games,Native,,142,9.33
135246866600992,2022-08-17,Banner,Productivity,non-Native,PG-13,105,23.45
135246866600944,2022-07-26,Banner,Productivity,non-Native,PG-13,173,18.43
135246866600896,2022-11-17,InApp,Productivity,Native,PG-17,160,18.19
135246866600848,2022-11-13,Banner,Games,non-Native,PG-13,216,14.86
135246866600800,2022-11-10,Interstitial,Productivity,non-Native,PG-17,143,12.38
135246866600752,,InApp,Games,Native,PG-17,216,16.13
135246866600704,2022-08-29,InApp,Games,Native,PG-17,,
135246866600656,2022-09-04,Banner,Games,non-Native,PG-13,,
135246866600608,2022-07-07,InApp,Productivity,Native,PG-13,154,13.2
135246866600560,2022-11-04,InApp,Games,Native,PG-17,142,21.11
135246866600512,2022-10-28,InApp,Games,Native,PG-17,118,16.57
135246866600464,2022-11-13,InApp,Games,Native,PG-13,156,18.5
135246866600416,2022-12-03,Banner,Productivity,non-Native,,127,21.14
135246866600368,2022-06-09,Banner,Productivity,non-Native,PG-13,152,19.97
135246866600320,2022-10-27,Banner,Games,non-Native,PG-13,157,24.13
135246866600272,2022-09-29,Banner,Productivity,non-Native,PG-13,185,18.31
135246866599744,2022-09-05,InApp,Productivity,Native,PG-13,132,13.11
135246866599696,2022-08-10,Banner,Games,non-Native,PG-13,149,19.28
135246866599648,2022-11-04,Banner,Productivity,non-Native,PG-17,111,11.94
135246866599600,,Banner,Games,non-Native,PG-17,112,18.66
135246866599552,2022-10-18,InApp,Productivity,Native,PG-13,101,20.3
135246866599504,2022-12-25,Banner,Games,non-Native,PG-13,,
135246866599456,2022-08-31,Banner,Games,non-Native,PG-13,220,13.1
135246866599408,2022-11-13,InApp,Health,Native,PG-13,161,18.06
135246866599360,2022-11-03,InApp,Games,Native,PG-13,101,22.91
135246866599312,2022-12-01,InApp,Games,Native,PG-13,105,18.38
135246866599264,2022-07-22,Banner,Productivity,non-Native,PG-17,164,15.42
135246866599216,2022-08-29,Banner,Games,non-Native,,148,12.09
135246866599168,2022-08-26,Banner,Games,non-Native,PG-13,133,15.89
135246866599120,2022-12-04,InApp,Games,Native,PG-13,143,22.59
135246866598208,2022-09-19,Banner,Productivity,non-Native,PG-13,157,23.43
135246866598160,2022-10-15,InApp,Games,Native,PG-13,133,24.73
135246866598112,2022-07-15,Banner,Games,non-Native,PG-17,155,22.81
135246866598064,2022-10-01,InApp,Games,Native,PG-13,120,19.36
135246866598016,2022-03-21,InApp,Games,Native,PG-13,123,14.8
135246866597968,2022-12-21,InApp,Productivity,Native,PG-13,177,19.96
135246866597872,2022-10-13,InApp,Games,Native,PG-13,131,20.33
135246866598976,2022-11-14,Interstitial,Games,non-Native,PG-13,174,10.01
135246866598688,2022-12-30,InApp,Productivity,Native,PG-13,129,18.54
135246866597440,2022-12-27,InApp,Games,Native,PG-13,115,18.34
135246866599072,2022-11-21,Banner,Productivity,non-Native,PG-13,103,19.91
135246866599024,,InApp,Games,Native,PG-13,176,17.13
135246866597680,2022-12-31,InApp,Games,Native,PG-13,186,16.98
135246866597776,2022-08-03,Interstitial,Games,non-Native,PG-13,218,23.39
135246866597728,2022-06-27,InApp,Games,Native,PG-17,103,14.28
135246866597344,2022-07-24,Banner,Games,non-Native,PG-17,118,13.45
135246866598784,2022-04-26,InApp,Games,Native,PG-13,,
135246866598448,2022-11-09,Banner,Games,non-Native,PG-13,104,20.91
135246866596912,2022-09-21,InApp,Games,Native,PG-17,194,12.82
135246866596864,2022-10-28,InApp,Games,Native,PG-13,106,19.65
135246866596960,,InApp,Productivity,Native,PG-13,145,15.45
135246866597104,2022-09-20,Banner,Games,non-Native,PG-17,151,16.76
135246866597008,2022-08-12,InApp,Games,Native,PG-17,113,18.61
135246866597296,2022-10-13,InApp,Games,Native,PG-13,139,10.4
135246866597248,2022-11-08,Banner,Games,non-Native,PG-13,116,21.87
135246866597200,2022-12-22,InApp,Games,Native,PG-13,127,23.04
135246866597152,2022-12-07,InApp,Games,Native,PG-13,143,20.61
135246866597056,2022-11-03,Banner,Games,non-Native,PG-13,124,17.81
135246866596768,2022-10-15,Banner,Games,non-Native,PG-13,156,20.8
135246866596720,2022-06-29,Banner,Games,non-Native,PG-17,108,11.23
135246866596672,2022-11-16,Banner,Games,non-Native,PG-17,167,12.39
135246866596624,2022-08-20,InApp,Games,Native,PG-13,136,16.62
135246866596528,2022-06-25,InApp,Games,Native,PG-13,104,21.13
135246866596480,2022-12-23,Banner,Productivity,non-Native,PG-13,173,10.66
135246866596336,2022-08-31,Banner,Productivity,non-Native,PG-17,138,22.94
135246866596288,2022-10-20,InApp,Productivity,Native,PG-13,149,14.53
135246866596240,2022-09-04,Banner,Games,non-Native,PG-13,201,18.43
135246866596192,2022-12-09,InApp,Games,Native,PG-13,182,18.62
135246866596144,2022-10-26,Banner,Games,non-Native,PG-17,124,12.23
135246866596096,2022-10-09,Banner,Games,non-Native,PG-13,199,15.2
135246866596048,2022-04-30,Interstitial,Games,non-Native,PG-17,106,21.76
135246866596000,2022-07-02,InApp,Games,Native,PG-13,159,20.96
135246866595952,2022-11-11,Banner,Games,non-Native,PG-13,115,10.21
135246866595904,2022-09-22,InApp,Games,Native,PG-17,113,20.73
135246866596576,2022-05-22,InApp,Productivity,Native,PG-13,172,16.63
135246866597536,2022-03-22,Banner,Games,non-Native,PG-17,122,16.34
135246866597920,2022-05-30,InApp,Games,Native,PG-13,,
135246866597584,,InApp,Games,Native,PG-17,199,14.33
135246866596816,2022-10-14,Banner,Games,non-Native,PG-13,164,22.24
135246866597824,2022-12-13,Interstitial,Games,non-Native,PG-17,109,17.3
135246866604016,2022-08-03,Interstitial,Games,non-Native,PG-13,,
135246866604064,2022-10-05,InApp,Games,Native,PG-13,130,19.5
135246866604112,2022-12-31,Banner,Games,non-Native,PG-13,166,15.14
135246866604160,2022-09-11,InApp,Games,Native,PG-13,140,15.67
135246866604208,2022-08-03,Banner,Games,non-Native,PG-13,,
135246866604256,2022-08-19,Banner,Games,non-Native,PG-13,156,23.85
135246866604304,2022-07-17,InApp,Games,Native,PG-13,102,12.65
135246866604352,2022-11-03,InApp,Games,Native,PG-13,128,16.51
135246866604400,2022-08-15,Banner,Games,non-Native,PG-13,151,15.03
135246866604448,2022-11-10,Banner,Productivity,non-Native,PG-13,162,20.56
135246866604496,2022-09-30,Banner,Games,non-Native,PG-17,155,14.78
135246866604544,2022-12-28,InApp,Games,Native,PG-13,141,16.39
135246866604592,2022-09-14,Banner,Productivity,non-Native,PG-17,142,23.61
135246866604640,2022-10-31,InApp,Games,Native,PG-13,,
135246866604688,2022-10-11,Banner,Productivity,non-Native,PG-13,213,15.0
135246866604736,2022-12-27,Banner,Games,non-Native,PG-13,150,12.03
135246866604784,2022-10-19,Banner,Games,non-Native,PG-13,,
135246866604832,2022-04-17,InApp,Productivity,Native,PG-17,,
135246866604880,2022-12-01,Interstitial,Games,non-Native,PG-17,144,14.83
135246866604928,2022-12-05,Banner,Productivity,non-Native,PG-17,162,16.52
135246866604976,2022-11-24,InApp,Games,Native,PG-17,115,17.27
135246866605024,2022-11-17,Banner,Games,non-Native,PG-13,,
135246866605072,2022-11-29,InApp,Games,Native,PG-17,157,18.88
135246866605120,2022-10-26,InApp,Games,Native,PG-13,151,18.24
135246866605168,2022-06-28,InApp,Games,Native,PG-13,,
135246866605216,2022-09-06,InApp,Games,Native,PG-13,136,18.0
135246866605264,2022-12-01,Banner,Games,non-Native,PG-17,244,13.26
135246866605312,2022-10-13,Banner,Games,non-Native,PG-13,178,19.09
135246866605360,2022-10-26,Banner,Games,non-Native,PG-13,115,9.11
135246866605408,2022-12-04,Banner,Games,non-Native,PG-13,186,16.7
135246866605456,2022-07-06,InApp,Games,Native,PG-13,232,23.8
135246866605504,2022-12-17,InApp,Games,Native,PG-13,114,16.87
135246866605552,2022-11-21,Interstitial,Games,non-Native,PG-13,106,17.66
135246866605600,2022-11-20,InApp,Productivity,Native,PG-13,115,10.27
135246866605648,2022-06-09,InApp,Games,Native,PG-17,172,13.31
135246866605696,2022-08-04,Banner,Games,non-Native,PG-13,217,9.4
135246866605744,2022-06-14,Banner,Games,non-Native,PG-13,145,20.58
135246866605792,2022-10-22,Interstitial,Games,non-Native,PG-13,195,21.3
135246866605840,,InApp,Games,Native,PG-17,136,17.46
135246866605888,2022-12-23,InApp,Games,Native,,108,18.54
135246866605936,2022-11-19,InApp,Games,Native,PG-17,128,12.65
135246866605984,2022-06-19,InApp,Games,Native,PG-13,199,21.36
135246866606032,2022-09-11,InApp,Productivity,Native,PG-13,109,12.99
135246866606080,2022-10-02,Banner,Games,non-Native,,124,15.41
